epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8246,4.44356,6.79933,3.36172,0.5533,0.28384,0.25974,0.15448,2.98688,7.43484,2.36801,0.00022,0.00022,0.00022
2,31.5338,2.95995,2.64839,2.37426,0.40526,0.41498,0.27767,0.16312,3.19161,inf,2.52193,0.000447772,0.000447772,0.000447772
3,44.4813,2.99645,2.32357,2.39453,0.44399,0.43112,0.33685,0.20552,2.88275,4.70219,2.39574,0.000673268,0.000673268,0.000673268
4,57.8147,2.91235,2.20385,2.33716,0.24079,0.30921,0.1991,0.09821,4.04405,inf,3.06878,0.000896486,0.000896486,0.000896486
5,69.5555,2.98495,2.26347,2.36991,0.46323,0.26121,0.24826,0.12697,3.58921,3.8598,2.61879,0.0009802,0.0009802,0.0009802
6,81.6695,2.87138,2.11346,2.33065,0.0139,0.09893,0.00912,0.00528,7.41055,9.52938,4.97954,0.00097525,0.00097525,0.00097525
7,93.4789,2.92767,2.16021,2.33578,0.32632,0.44242,0.37161,0.21367,2.96156,3.044,2.34604,0.0009703,0.0009703,0.0009703
8,106.308,2.88464,2.18691,2.32205,0.40708,0.56154,0.45523,0.20439,3.84659,2.73078,2.86517,0.00096535,0.00096535,0.00096535
9,119.269,2.87881,2.14182,2.32561,0.59756,0.48073,0.48936,0.25231,3.16051,2.27527,2.41755,0.0009604,0.0009604,0.0009604
10,132.021,2.83719,2.03246,2.31002,0.50478,0.58103,0.5194,0.28879,2.9168,1.98888,2.30652,0.00095545,0.00095545,0.00095545
11,144.414,2.82774,2.01313,2.32047,0.51498,0.58692,0.55374,0.29289,3.12256,1.94192,2.35621,0.0009505,0.0009505,0.0009505
12,157.197,2.79243,2.01495,2.30469,0.50534,0.43824,0.42028,0.24063,2.82586,2.3802,2.2545,0.00094555,0.00094555,0.00094555
13,168.951,2.7963,1.93026,2.28744,0.52234,0.52134,0.52239,0.29242,2.8704,1.892,2.26361,0.0009406,0.0009406,0.0009406
14,181.368,2.77734,1.9233,2.2802,0.42738,0.49091,0.47846,0.27582,2.81865,1.99965,2.25212,0.00093565,0.00093565,0.00093565
15,193.1,2.82671,1.93025,2.31302,0.50448,0.62404,0.55131,0.23,4.04139,2.07104,2.81616,0.0009307,0.0009307,0.0009307
16,205.355,2.80226,1.95956,2.2839,0.62146,0.58,0.53136,0.30886,2.89825,2.03406,2.25872,0.00092575,0.00092575,0.00092575
17,217.928,2.69982,1.86788,2.23477,0.63156,0.57863,0.55363,0.3328,2.71425,1.81628,2.20158,0.0009208,0.0009208,0.0009208
18,230.589,2.75953,1.84992,2.28811,0.48927,0.62844,0.56331,0.33288,2.74842,1.80602,2.2157,0.00091585,0.00091585,0.00091585
19,244.171,2.74639,1.89908,2.26634,0.65036,0.50502,0.54984,0.31593,2.76065,1.85114,2.22527,0.0009109,0.0009109,0.0009109
20,255.873,2.71364,1.91606,2.25703,0.52263,0.54121,0.50512,0.29801,2.75375,1.75489,2.20744,0.00090595,0.00090595,0.00090595
21,268.372,2.7115,1.83824,2.24237,0.62561,0.59714,0.59793,0.34093,2.77086,1.74604,2.21872,0.000901,0.000901,0.000901
22,282.113,2.6963,1.84232,2.25252,0.58464,0.57546,0.5706,0.32149,2.88619,1.81951,2.24767,0.00089605,0.00089605,0.00089605
23,294.119,2.69507,1.85478,2.24754,0.50111,0.68285,0.58417,0.3519,2.73321,1.7269,2.19873,0.0008911,0.0008911,0.0008911
24,307.838,2.67425,1.8002,2.24563,0.51504,0.63227,0.57326,0.34344,2.63174,1.71576,2.16475,0.00088615,0.00088615,0.00088615
25,319.914,2.65964,1.76339,2.21645,0.58777,0.6238,0.60655,0.33867,2.96713,1.75511,2.28419,0.0008812,0.0008812,0.0008812
26,331.749,2.63574,1.74758,2.21353,0.55207,0.60966,0.59949,0.34787,2.67096,1.69819,2.184,0.00087625,0.00087625,0.00087625
27,343.876,2.6391,1.80051,2.22047,0.57196,0.60674,0.57389,0.34267,2.64304,1.77995,2.16654,0.0008713,0.0008713,0.0008713
28,355.664,2.62699,1.72404,2.22234,0.51333,0.64397,0.58639,0.34655,2.70887,1.71167,2.18447,0.00086635,0.00086635,0.00086635
29,368.336,2.64118,1.76072,2.23789,0.55136,0.53019,0.54502,0.32083,2.70433,1.91047,2.19065,0.0008614,0.0008614,0.0008614
30,380.239,2.6529,1.78426,2.22857,0.50208,0.6499,0.57965,0.34422,2.6498,1.63777,2.16598,0.00085645,0.00085645,0.00085645
31,391.991,2.64411,1.73001,2.23136,0.58495,0.64403,0.60921,0.36523,2.64243,1.66379,2.16385,0.0008515,0.0008515,0.0008515
32,405.029,2.64478,1.70476,2.21346,0.60405,0.64961,0.61064,0.36465,2.64546,1.61044,2.16534,0.00084655,0.00084655,0.00084655
33,417.528,2.56571,1.68824,2.17997,0.62953,0.65834,0.64602,0.37616,2.70107,1.58363,2.18665,0.0008416,0.0008416,0.0008416
34,430.66,2.58222,1.68515,2.20734,0.57027,0.67222,0.62849,0.3736,2.65406,1.52285,2.16877,0.00083665,0.00083665,0.00083665
35,442.298,2.60654,1.67099,2.20457,0.57104,0.66601,0.62433,0.3507,2.84369,1.63808,2.23527,0.0008317,0.0008317,0.0008317
