Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
1,5.8,426,361.3,2.7392,4.4092,2.0672
2,5.8,440,356.26,1.4326,1.2499,1.1628
3,5.79,503,352.4,1.3974,1.0642,1.1887
4,5.84,429,349.19,1.3843,1.0281,1.1655
5,5.79,414,349.47,1.4287,1.0454,1.1848
6,5.85,439,348.89,1.3887,1.0341,1.1695
7,5.78,459,365.13,1.3759,1.0361,1.1557
8,5.85,418,347.45,1.3886,0.9867,1.1645
9,5.8,412,352.15,1.3789,0.9817,1.1716
10,5.86,451,352.09,1.3669,0.9588,1.1499
11,5.78,416,353.96,1.3408,0.9483,1.1463
12,5.87,449,344.43,1.3398,0.9543,1.1454
13,5.77,406,353.77,1.3365,0.9121,1.1359
14,5.86,406,342.98,1.318,0.9349,1.1356
15,5.78,417,337.02,1.3515,0.9211,1.1452
16,5.87,436,363.47,1.3203,0.9185,1.1262
17,5.78,429,359.64,1.2905,0.8699,1.1087
18,5.85,427,335.94,1.3167,0.8832,1.1423
19,5.75,472,360.72,1.2983,0.8747,1.1218
20,5.86,425,356.94,1.3081,0.9202,1.1298
21,5.77,448,357.15,1.2884,0.8684,1.1089
22,5.86,419,340.06,1.304,0.9082,1.1275
23,5.77,427,347.85,1.2943,0.884,1.1327
24,5.84,452,359.68,1.3096,0.868,1.1345
25,5.76,442,359.09,1.2735,0.8525,1.1034
26,5.85,394,341.55,1.267,0.8449,1.1041
27,5.79,429,350.23,1.2663,0.8499,1.1082
28,5.88,414,345.94,1.2694,0.8476,1.1174
29,5.8,452,337.4,1.2698,0.8354,1.1182
30,5.87,414,351.36,1.2623,0.8358,1.1131
31,5.79,452,359.79,1.2565,0.8315,1.1031
32,5.87,430,347.19,1.2671,0.8379,1.1109
33,5.78,414,336.38,1.2249,0.818,1.0799
34,5.87,422,357.04,1.2368,0.8055,1.0988
35,5.79,407,347.91,1.241,0.7859,1.0925
36,5.85,392,350.66,1.2551,0.8141,1.0941
37,5.78,430,354.19,1.2634,0.8063,1.096
38,5.85,412,353.74,1.2476,0.7968,1.1087
39,5.79,416,351.64,1.2454,0.8152,1.1001
40,5.87,427,360.85,1.2709,0.8234,1.1079
41,5.77,438,353.17,1.2277,0.7671,1.0806
42,5.85,434,349.28,1.2172,0.7825,1.0805
43,5.79,426,347.91,1.2072,0.7772,1.0818
44,5.86,412,345.62,1.2178,0.7882,1.0874
45,5.78,409,343.21,1.2179,0.7667,1.0847
46,5.88,429,359.28,1.2202,0.7903,1.0906
47,5.78,396,355.45,1.2245,0.7833,1.0914
48,5.9,407,352.32,1.2209,0.7653,1.0827
49,5.78,444,351.91,1.2062,0.76,1.0774
50,5.85,399,355.21,1.2178,0.7659,1.0761
51,5.78,454,359.68,1.2436,0.7949,1.1019
52,5.86,441,354.36,1.2277,0.8034,1.0938
53,5.77,477,358.72,1.2179,0.7906,1.0798
54,5.86,441,357.36,1.2176,0.7677,1.0851
55,5.77,417,338.47,1.193,0.752,1.0823
56,5.86,397,350.53,1.2206,0.7856,1.0908
57,5.78,419,354.53,1.2218,0.7665,1.0846
58,5.84,455,355.17,1.2028,0.7587,1.0717
59,5.76,449,362.09,1.1969,0.7557,1.0756
60,5.83,449,356.85,1.1675,0.7317,1.0641
61,5.8,417,348.6,1.1956,0.7396,1.0772
62,5.83,457,345.45,1.1819,0.7338,1.0738
63,5.79,448,360.38,1.2316,0.7598,1.0965
64,5.85,395,339.34,1.2002,0.7553,1.0771
65,5.77,403,347.4,1.1806,0.7338,1.0739
66,5.85,410,346.89,1.194,0.718,1.0789
67,5.78,448,351.0,1.1776,0.7226,1.0718
68,5.86,434,355.7,1.206,0.7308,1.0892
69,5.76,425,356.17,1.1604,0.7233,1.054
70,5.85,421,352.62,1.1659,0.7099,1.0607
71,5.8,419,349.7,1.2025,0.7513,1.0837
72,5.86,404,340.23,1.1731,0.7155,1.0604
73,5.84,437,352.47,1.1565,0.71,1.0521
74,5.85,416,352.87,1.1907,0.6957,1.0656
