epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6051,2.2317,3.25162,1.70235,0.70758,0.42183,0.35687,0.19897,1.41864,5.97256,1.21419,0.00022,0.00022,0.00022
2,27.5171,1.42212,1.18918,1.16317,0.32491,0.42403,0.36675,0.19611,1.61207,7.09252,1.30696,0.000447772,0.000447772,0.000447772
3,39.2096,1.40149,1.06519,1.18205,0.33852,0.28485,0.28018,0.13676,1.80295,1.83246,1.44116,0.000673268,0.000673268,0.000673268
4,50.6585,1.38381,1.03507,1.16477,0.37702,0.57346,0.4504,0.23456,1.54012,1.52934,1.23901,0.000896486,0.000896486,0.000896486
5,62.8634,1.40323,1.02713,1.17276,0.41683,0.12078,0.12681,0.05564,2.73541,2.8332,1.82086,0.0009802,0.0009802,0.0009802
6,74.2754,1.38247,1.01764,1.16535,0.44142,0.32328,0.29488,0.14952,2.24767,2.0573,1.67349,0.00097525,0.00097525,0.00097525
7,85.946,1.39934,1.03069,1.1689,0.58023,0.55554,0.54822,0.2943,1.40205,1.19346,1.14151,0.0009703,0.0009703,0.0009703
8,98.2164,1.38545,0.99111,1.16403,0.51917,0.5311,0.55527,0.28962,1.53394,1.16238,1.23033,0.00096535,0.00096535,0.00096535
9,109.743,1.35661,0.96025,1.15194,0.453,0.59326,0.51214,0.27394,1.46769,1.02138,1.18701,0.0009604,0.0009604,0.0009604
10,121.012,1.34233,0.94981,1.14322,0.52285,0.64105,0.55077,0.28258,1.56727,0.95325,1.21081,0.00095545,0.00095545,0.00095545
11,132.16,1.35041,0.95171,1.1547,0.49412,0.62857,0.55346,0.28548,1.62816,0.99755,1.24554,0.0009505,0.0009505,0.0009505
12,143.13,1.33079,0.94777,1.14318,0.51663,0.64207,0.57678,0.30383,1.50782,0.97631,1.20469,0.00094555,0.00094555,0.00094555
13,155.75,1.3463,0.92316,1.14025,0.51693,0.6616,0.57552,0.30355,1.47664,0.92424,1.16326,0.0009406,0.0009406,0.0009406
14,166.934,1.31799,0.91576,1.13313,0.64208,0.58953,0.54321,0.31653,1.36962,0.96527,1.12855,0.00093565,0.00093565,0.00093565
15,179.786,1.3495,0.91765,1.15052,0.56765,0.57418,0.56171,0.32663,1.37121,0.86864,1.13187,0.0009307,0.0009307,0.0009307
16,192.311,1.32407,0.91237,1.12916,0.50759,0.62964,0.56814,0.32404,1.41144,0.93435,1.15698,0.00092575,0.00092575,0.00092575
17,203.838,1.29387,0.88578,1.1114,0.55481,0.52915,0.53094,0.2985,1.40721,1.05454,1.13757,0.0009208,0.0009208,0.0009208
18,215.655,1.31732,0.88584,1.13626,0.57599,0.61566,0.61769,0.33455,1.42414,0.89286,1.14991,0.00091585,0.00091585,0.00091585
19,228.217,1.30854,0.89239,1.12663,0.56255,0.73063,0.66949,0.35467,1.52985,0.90183,1.18606,0.0009109,0.0009109,0.0009109
20,241.034,1.29998,0.91099,1.12439,0.56984,0.69189,0.62015,0.35101,1.38951,0.87746,1.13131,0.00090595,0.00090595,0.00090595
