Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
1,6.88,426,361.3,2.9029,4.0045,2.2659
2,6.85,440,356.26,1.4545,1.163,1.2074
3,6.85,503,352.4,1.4163,1.1181,1.1983
4,6.89,429,349.19,1.4125,1.0384,1.1803
5,6.83,414,349.47,1.5281,1.0728,1.2276
6,6.88,439,348.89,1.4187,1.0436,1.1859
7,6.82,459,365.13,1.4023,1.0572,1.1685
8,6.89,418,347.45,1.3811,1.0204,1.1606
9,6.83,412,352.15,1.3979,1.0129,1.1784
10,6.89,451,347.71,1.3916,0.9895,1.1679
11,6.82,416,353.11,1.3433,0.9778,1.1508
12,6.9,449,344.43,1.357,0.9594,1.1575
13,6.81,406,353.77,1.3655,0.9411,1.1484
14,6.9,406,342.98,1.3466,0.9419,1.1501
15,6.82,417,337.02,1.3652,0.9262,1.1552
16,6.9,436,363.47,1.3627,0.9335,1.1506
17,6.82,429,359.64,1.3084,0.8707,1.1224
18,6.9,427,335.94,1.3272,0.8972,1.1455
19,6.79,472,360.72,1.3132,0.8744,1.1294
20,6.9,425,356.94,1.3306,0.9252,1.1398
21,6.82,448,357.15,1.3162,0.8809,1.1209
22,6.91,419,340.06,1.3187,0.8957,1.1331
23,6.79,427,347.85,1.3024,0.8972,1.1359
24,6.89,452,359.68,1.312,0.8807,1.136
25,6.81,442,359.09,1.2927,0.8671,1.1125
26,6.9,394,341.55,1.2708,0.8422,1.1063
27,6.83,429,350.23,1.2833,0.8768,1.1154
28,6.95,414,345.94,1.277,0.8505,1.1209
29,6.83,452,337.4,1.2927,0.8468,1.1319
30,6.9,414,351.36,1.2728,0.852,1.12
31,6.83,452,359.79,1.2714,0.8357,1.111
32,6.91,430,347.19,1.2766,0.8414,1.1177
33,6.82,414,336.38,1.2475,0.8276,1.09
34,6.9,422,357.04,1.2525,0.815,1.1079
35,6.82,407,347.91,1.2529,0.7995,1.1001
36,6.89,392,350.66,1.2505,0.8145,1.0966
37,6.82,430,354.19,1.2681,0.8174,1.1
38,6.9,412,353.74,1.259,0.8074,1.1164
39,6.83,416,351.64,1.2655,0.8215,1.111
40,6.9,427,360.85,1.2958,0.8338,1.1199
41,6.81,438,353.17,1.2299,0.7746,1.0859
42,6.9,434,349.28,1.229,0.8057,1.0887
43,6.83,426,347.91,1.2227,0.7913,1.0898
44,6.9,412,345.62,1.2337,0.8053,1.0968
45,6.82,409,343.21,1.2313,0.7767,1.0938
46,6.92,429,359.28,1.2367,0.801,1.0987
47,6.82,396,355.45,1.2319,0.798,1.0951
48,6.89,407,352.32,1.2341,0.7893,1.0894
49,6.83,444,351.91,1.2186,0.7741,1.0862
50,6.89,399,355.21,1.244,0.7768,1.0874
51,6.82,454,359.68,1.2494,0.8087,1.1083
52,6.9,441,354.36,1.2328,0.8139,1.1017
53,6.81,477,358.72,1.2238,0.8048,1.0845
54,6.9,441,357.36,1.2305,0.7817,1.0902
55,6.82,417,338.47,1.2079,0.774,1.0914
56,6.9,397,350.53,1.2243,0.7998,1.0951
57,6.82,419,354.53,1.2345,0.7742,1.0906
58,6.88,455,355.17,1.2165,0.7835,1.0802
59,6.8,449,362.09,1.2202,0.7717,1.0832
60,6.87,449,356.85,1.1866,0.7489,1.0709
61,6.82,417,348.6,1.2147,0.7547,1.0861
62,6.87,457,345.45,1.1998,0.7428,1.0836
63,6.82,448,360.38,1.2425,0.7825,1.1012
64,6.89,395,339.34,1.2073,0.7669,1.0824
65,6.8,403,347.4,1.1862,0.7404,1.0794
66,6.89,410,346.89,1.2093,0.7349,1.087
67,6.83,448,351.0,1.1986,0.7406,1.0809
68,6.91,434,355.7,1.2235,0.7405,1.0985
69,6.81,425,356.17,1.1802,0.737,1.0646
70,6.88,421,352.62,1.1746,0.7206,1.0674
71,6.85,419,349.7,1.2154,0.7614,1.0927
72,6.9,404,340.23,1.1971,0.7299,1.0683
73,6.88,437,352.47,1.175,0.7289,1.0594
74,6.89,416,352.87,1.2087,0.7079,1.0724
75,6.82,429,361.49,1.1793,0.7196,1.0686
76,6.9,445,350.23,1.1733,0.7231,1.0645
77,6.82,415,340.47,1.1612,0.6946,1.0594
78,6.9,423,348.77,1.1904,0.7353,1.0705
79,6.87,398,353.49,1.1857,0.7243,1.0743
80,6.88,410,343.96,1.1576,0.7143,1.0635
81,6.83,418,346.85,1.19,0.7225,1.0653
82,6.9,437,359.3,1.1672,0.7187,1.06
83,6.8,447,347.51,1.1499,0.6979,1.0576
84,6.9,482,363.4,1.1872,0.7155,1.0637
85,6.83,429,355.72,1.1814,0.6945,1.065
86,6.9,465,361.23,1.149,0.7239,1.0513
87,6.83,433,354.13,1.1688,0.699,1.0652
88,6.89,429,350.96,1.1593,0.6971,1.0485
89,6.83,432,355.96,1.1481,0.6913,1.0532
90,6.9,421,352.28,1.1745,0.6844,1.0723
91,6.82,440,353.45,1.1749,0.6983,1.0691
92,6.89,389,346.77,1.1421,0.6815,1.0494
93,6.83,478,348.55,1.1668,0.7059,1.0684
94,6.89,470,353.02,1.1519,0.6858,1.0582
95,6.82,391,345.74,1.1415,0.6835,1.0597
96,6.87,401,338.53,1.1347,0.6653,1.0556
97,6.83,427,358.15,1.1232,0.671,1.0452
98,6.88,400,345.3,1.1436,0.671,1.0507
99,6.81,426,349.74,1.1586,0.6936,1.0482
100,6.9,431,348.11,1.1266,0.6813,1.0468
101,6.83,414,344.6,1.1337,0.6559,1.0532
102,6.9,417,354.74,1.1267,0.6534,1.0397
103,6.83,437,360.57,1.1198,0.6742,1.0444
104,6.9,467,346.7,1.131,0.6663,1.0514
105,6.83,427,352.23,1.1199,0.6565,1.0473
106,6.9,455,354.36,1.1377,0.6463,1.0468
107,6.82,392,345.36,1.1293,0.6427,1.0581
108,6.91,422,349.32,1.1139,0.6574,1.046
109,6.87,438,365.28,1.1169,0.6547,1.0439
110,6.89,418,354.0,1.1306,0.6605,1.0582
111,6.82,446,354.81,1.139,0.6532,1.0537
112,6.89,443,344.32,1.1467,0.6472,1.0526
113,6.82,425,348.72,1.1118,0.6366,1.0453
114,6.89,406,359.68,1.133,0.6574,1.0463
115,6.83,440,351.0,1.0979,0.6352,1.0427
116,6.89,420,357.94,1.1182,0.6572,1.0408
117,6.82,417,356.77,1.1214,0.6595,1.0486
118,6.89,423,353.19,1.1262,0.639,1.0371
119,6.83,406,333.51,1.1077,0.6487,1.0461
120,6.89,431,353.26,1.1116,0.6347,1.0329
121,6.82,425,353.98,1.0993,0.6386,1.0321
122,6.88,455,357.17,1.1031,0.6234,1.0421
123,6.82,461,351.94,1.1036,0.6136,1.0447
124,6.88,443,352.23,1.1028,0.6321,1.055
125,6.82,436,349.7,1.0711,0.6067,1.0375
126,6.89,440,351.19,1.0788,0.6157,1.0269
127,6.83,427,339.96,1.0957,0.6083,1.0401
128,6.9,430,347.68,1.0722,0.617,1.0261
129,6.83,412,350.23,1.066,0.6088,1.0242
130,6.9,435,362.36,1.0955,0.6097,1.039
131,6.82,419,365.02,1.1021,0.6304,1.0501
132,6.89,429,363.43,1.1032,0.6075,1.0281
133,6.84,425,360.21,1.0683,0.5982,1.0219
134,6.87,467,346.79,1.0819,0.5969,1.0312
135,6.82,453,366.81,1.0701,0.5896,1.022
136,6.91,464,358.96,1.073,0.584,1.0221
137,6.82,429,345.04,1.0488,0.5706,1.0095
138,6.9,393,342.02,1.0554,0.5848,1.0192
139,6.84,393,342.38,1.0563,0.5804,1.0192
140,6.89,437,345.21,1.0507,0.5764,1.0158
141,6.83,452,358.49,1.0605,0.6023,1.0148
142,6.92,410,347.94,1.0315,0.5675,1.0087
