epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2998,2.33609,3.02591,1.84962,0.10344,0.11561,0.08109,0.03646,2.32578,9.52159,1.76176,0.00022,0.00022,0.00022
2,39.1677,1.43853,1.12028,1.1929,0.0003,0.00511,0.00015,3e-05,nan,nan,nan,0.000447772,0.000447772,0.000447772
3,53.572,1.40296,1.10144,1.18779,0,0,0,0,nan,nan,nan,0.000673268,0.000673268,0.000673268
4,68.4315,1.43565,1.05417,1.19016,0.03858,0.08278,0.03107,0.01841,nan,nan,nan,0.000896486,0.000896486,0.000896486
5,83.2827,1.48129,1.05804,1.20597,0.58005,0.47446,0.4393,0.20659,1.70184,1.86246,1.47528,0.0009802,0.0009802,0.0009802
6,99.5672,1.40629,1.03327,1.17928,0.41499,0.33127,0.26894,0.13929,1.78582,1.9996,1.43522,0.00097525,0.00097525,0.00097525
7,114.871,1.40798,1.0426,1.17283,0.45241,0.57341,0.48075,0.25299,1.52084,1.20522,1.26454,0.0009703,0.0009703,0.0009703
8,131.279,1.37992,1.0088,1.16097,0.42682,0.59066,0.46996,0.23391,1.63309,1.21393,1.28487,0.00096535,0.00096535,0.00096535
9,146.923,1.37585,0.98934,1.16034,0.49807,0.63897,0.54441,0.26916,1.6435,1.11419,1.29894,0.0009604,0.0009604,0.0009604
10,164.582,1.36578,0.98569,1.15933,0.43798,0.63103,0.50893,0.28925,1.3536,0.97722,1.14055,0.00095545,0.00095545,0.00095545
11,181.347,1.36328,0.97476,1.16194,0.47102,0.59251,0.52675,0.23904,1.77573,1.14992,1.3,0.0009505,0.0009505,0.0009505
12,197.38,1.34709,0.94225,1.1533,0.45305,0.60412,0.51294,0.28414,1.40748,1.00895,1.14998,0.00094555,0.00094555,0.00094555
13,213.158,1.37713,0.94386,1.15558,0.54442,0.60603,0.57594,0.29731,1.54541,1.03443,1.20146,0.0009406,0.0009406,0.0009406
14,230.383,1.34409,0.92295,1.14564,0.38324,0.54808,0.44425,0.24229,1.50219,1.15017,1.18671,0.00093565,0.00093565,0.00093565
15,245.767,1.35979,0.92853,1.15784,0.4375,0.58249,0.50621,0.27376,1.45122,0.96334,1.1686,0.0009307,0.0009307,0.0009307
16,261.121,1.36882,0.92332,1.15166,0.37606,0.58043,0.44203,0.23736,1.5138,1.17453,1.17931,0.00092575,0.00092575,0.00092575
17,276.074,1.31198,0.89137,1.12418,0.58775,0.53833,0.52453,0.29447,1.35507,0.94068,1.1228,0.0009208,0.0009208,0.0009208
18,290.767,1.32825,0.90245,1.14311,0.52882,0.65977,0.61183,0.3349,1.40621,0.88149,1.13913,0.00091585,0.00091585,0.00091585
19,307.705,1.3263,0.89066,1.13506,0.51579,0.65381,0.57242,0.32163,1.39236,0.94539,1.13207,0.0009109,0.0009109,0.0009109
20,323.78,1.31921,0.91394,1.13416,0.60908,0.63716,0.57376,0.33406,1.31188,0.87656,1.09687,0.00090595,0.00090595,0.00090595
21,339.181,1.31574,0.87886,1.12474,0.57093,0.6371,0.60534,0.33803,1.40002,0.85143,1.12596,0.000901,0.000901,0.000901
22,356.839,1.3033,0.87714,1.13028,0.52457,0.66711,0.5517,0.28235,1.621,0.96383,1.21212,0.00089605,0.00089605,0.00089605
23,372.359,1.31193,0.89113,1.13072,0.54151,0.6793,0.58808,0.33516,1.38682,0.90337,1.13406,0.0008911,0.0008911,0.0008911
24,388.28,1.29405,0.8692,1.12421,0.55518,0.60121,0.6003,0.35503,1.30612,0.81575,1.10052,0.00088615,0.00088615,0.00088615
25,404.813,1.29058,0.86446,1.11295,0.58516,0.64499,0.62983,0.34889,1.4012,0.81874,1.12426,0.0008812,0.0008812,0.0008812
26,421.313,1.27943,0.84759,1.11159,0.54104,0.66447,0.60269,0.34207,1.31124,0.8575,1.10587,0.00087625,0.00087625,0.00087625
27,437.662,1.28323,0.8746,1.11473,0.58597,0.65099,0.59886,0.34452,1.32032,0.88378,1.09885,0.0008713,0.0008713,0.0008713
28,453.069,1.27327,0.83888,1.11741,0.50999,0.57714,0.54147,0.31986,1.3292,0.93321,1.10036,0.00086635,0.00086635,0.00086635
29,468.425,1.28949,0.85707,1.12836,0.53444,0.55448,0.53942,0.31013,1.32311,0.92539,1.10325,0.0008614,0.0008614,0.0008614
30,483.854,1.26674,0.85431,1.11367,0.58261,0.65471,0.63862,0.35954,1.34476,0.81593,1.1103,0.00085645,0.00085645,0.00085645
31,500.42,1.29231,0.84365,1.125,0.53149,0.64619,0.60843,0.35348,1.30503,0.83209,1.09119,0.0008515,0.0008515,0.0008515
32,516.663,1.28032,0.83284,1.11264,0.53426,0.64424,0.59827,0.35249,1.31336,0.81327,1.09846,0.00084655,0.00084655,0.00084655
33,532.526,1.25759,0.82205,1.09808,0.54284,0.67595,0.6262,0.35773,1.35457,0.80173,1.11126,0.0008416,0.0008416,0.0008416
34,548.065,1.25759,0.82067,1.11134,0.53304,0.66118,0.61161,0.35257,1.32914,0.79144,1.09905,0.00083665,0.00083665,0.00083665
35,563.443,1.26568,0.82073,1.10691,0.58002,0.67541,0.61011,0.34869,1.32251,0.81915,1.09958,0.0008317,0.0008317,0.0008317
36,587.935,1.26095,0.8269,1.10599,0.61573,0.71009,0.63839,0.37449,1.29597,0.82736,1.0925,0.00082675,0.00082675,0.00082675
37,605.499,1.26722,0.81184,1.09831,0.55453,0.68456,0.61137,0.35184,1.34406,0.82202,1.10536,0.0008218,0.0008218,0.0008218
38,620.55,1.24658,0.819,1.1072,0.52071,0.69949,0.62259,0.36671,1.29645,0.78145,1.08288,0.00081685,0.00081685,0.00081685
39,635.967,1.25772,0.80225,1.10281,0.66002,0.61179,0.63049,0.36749,1.36933,0.79111,1.12195,0.0008119,0.0008119,0.0008119
40,651.944,1.27776,0.81499,1.11374,0.62284,0.65017,0.63598,0.35864,1.41048,0.78971,1.12884,0.00080695,0.00080695,0.00080695
41,666.974,1.23903,0.78395,1.09335,0.5147,0.70385,0.6333,0.37435,1.29396,0.77594,1.09567,0.000802,0.000802,0.000802
42,682.355,1.21708,0.78987,1.08109,0.54248,0.71681,0.63713,0.38023,1.30181,0.7771,1.09361,0.00079705,0.00079705,0.00079705
43,698.596,1.23485,0.80154,1.09338,0.57468,0.7298,0.6488,0.37459,1.32582,0.83271,1.10053,0.0007921,0.0007921,0.0007921
44,713.414,1.23434,0.80795,1.09509,0.56496,0.71024,0.63999,0.37197,1.34774,0.81317,1.11058,0.00078715,0.00078715,0.00078715
45,727.77,1.24294,0.78945,1.09944,0.59222,0.67317,0.62472,0.37154,1.2919,0.79714,1.08403,0.0007822,0.0007822,0.0007822
46,744.227,1.23562,0.79253,1.09509,0.53105,0.71594,0.62552,0.37543,1.26688,0.77501,1.07603,0.00077725,0.00077725,0.00077725
47,759.71,1.22934,0.79597,1.09415,0.57009,0.73536,0.65539,0.38631,1.28795,0.86219,1.08581,0.0007723,0.0007723,0.0007723
48,777.066,1.23026,0.78186,1.09497,0.57506,0.70641,0.65523,0.36999,1.35846,0.77178,1.11464,0.00076735,0.00076735,0.00076735
49,792.633,1.23116,0.78018,1.09415,0.6083,0.70066,0.66153,0.40066,1.30799,0.76207,1.09242,0.0007624,0.0007624,0.0007624
50,809.241,1.2313,0.78452,1.08551,0.58413,0.69972,0.6616,0.3987,1.27575,0.75691,1.08078,0.00075745,0.00075745,0.00075745
51,824.519,1.24241,0.80266,1.09959,0.58264,0.60225,0.59397,0.35749,1.27391,0.7795,1.08563,0.0007525,0.0007525,0.0007525
52,840.076,1.22056,0.79218,1.0937,0.50207,0.7634,0.65306,0.39458,1.29444,0.81408,1.08713,0.00074755,0.00074755,0.00074755
53,855.259,1.22564,0.80186,1.08648,0.54662,0.70728,0.6514,0.37505,1.3519,0.75627,1.10786,0.0007426,0.0007426,0.0007426
54,872.56,1.23009,0.77986,1.09298,0.60759,0.66608,0.64241,0.3778,1.32923,0.74657,1.0966,0.00073765,0.00073765,0.00073765
55,887.879,1.2115,0.78045,1.0884,0.59089,0.66815,0.63378,0.3821,1.2951,0.81644,1.09391,0.0007327,0.0007327,0.0007327
56,902.959,1.22415,0.78302,1.09325,0.60918,0.65146,0.65704,0.37615,1.35992,0.80159,1.10596,0.00072775,0.00072775,0.00072775
57,918.28,1.23084,0.76932,1.08847,0.60237,0.65622,0.64619,0.39534,1.25056,0.75869,1.07259,0.0007228,0.0007228,0.0007228
58,934.26,1.22629,0.76962,1.0828,0.63189,0.7037,0.68836,0.40537,1.27314,0.71833,1.07934,0.00071785,0.00071785,0.00071785
59,950.548,1.21951,0.77473,1.079,0.61403,0.71112,0.67303,0.39851,1.26961,0.76214,1.07712,0.0007129,0.0007129,0.0007129
60,965.879,1.1945,0.75462,1.07417,0.61772,0.68709,0.66352,0.39883,1.2765,0.74499,1.08221,0.00070795,0.00070795,0.00070795
61,981.534,1.21615,0.76109,1.08952,0.56438,0.68699,0.65613,0.39594,1.25698,0.74953,1.07173,0.000703,0.000703,0.000703
62,997.631,1.22604,0.75718,1.10311,0.58341,0.68393,0.64538,0.37706,1.27834,0.82938,1.0802,0.00069805,0.00069805,0.00069805
63,1015.26,1.21637,0.77121,1.08393,0.66613,0.603,0.67461,0.40235,1.26587,0.7629,1.07748,0.0006931,0.0006931,0.0006931
64,1031.16,1.19921,0.76351,1.07767,0.66679,0.58783,0.65952,0.3988,1.28093,0.75306,1.08292,0.00068815,0.00068815,0.00068815
65,1046.57,1.183,0.74341,1.07371,0.67351,0.6406,0.67617,0.40174,1.29493,0.73327,1.08694,0.0006832,0.0006832,0.0006832
66,1061.83,1.20322,0.72249,1.08013,0.63499,0.66944,0.68402,0.41321,1.30657,0.72985,1.08775,0.00067825,0.00067825,0.00067825
67,1078.01,1.20039,0.73449,1.07551,0.58639,0.71313,0.67775,0.39296,1.36097,0.73574,1.10968,0.0006733,0.0006733,0.0006733
68,1094,1.21393,0.73481,1.08414,0.64829,0.68611,0.69529,0.41874,1.27722,0.75355,1.07807,0.00066835,0.00066835,0.00066835
69,1111.07,1.18827,0.73333,1.07445,0.62014,0.74576,0.70653,0.41381,1.29385,0.76058,1.08865,0.0006634,0.0006634,0.0006634
70,1126.58,1.17967,0.72462,1.07431,0.65469,0.70415,0.69935,0.41345,1.32049,0.72673,1.09593,0.00065845,0.00065845,0.00065845
