Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
1,4.94,426,361.76,2.734,4.43,2.0098
2,4.92,440,356.26,1.4559,1.1949,1.2059
3,4.91,503,352.4,1.3824,1.0556,1.1758
4,4.82,429,349.19,1.394,1.0628,1.1672
5,4.87,414,349.47,1.4145,1.0313,1.1732
6,4.83,439,348.89,1.3743,0.9817,1.1581
7,4.93,459,365.13,1.3534,1.0005,1.141
8,4.82,418,347.45,1.3629,0.9854,1.1541
9,4.9,412,352.15,1.352,0.9602,1.1569
10,4.82,451,352.09,1.3566,0.9253,1.1424
11,4.91,416,353.96,1.3301,0.92,1.138
12,4.84,449,344.43,1.3344,0.9253,1.1384
13,4.91,406,353.77,1.3113,0.9003,1.1232
14,4.82,406,342.98,1.2986,0.9131,1.1242
15,4.9,417,337.02,1.3322,0.8844,1.1351
16,4.79,436,363.47,1.2972,0.8864,1.115
17,4.91,429,359.64,1.2617,0.8344,1.0977
18,4.83,427,335.94,1.2855,0.8513,1.1249
19,4.91,472,360.72,1.2806,0.8411,1.1134
20,4.83,425,356.94,1.2946,0.8699,1.1234
21,4.91,448,357.15,1.2753,0.8423,1.1022
22,4.79,419,340.06,1.2942,0.8655,1.1192
23,4.92,427,347.85,1.2599,0.8523,1.1166
24,4.83,452,359.68,1.283,0.8327,1.1196
25,4.91,442,359.09,1.2567,0.8166,1.0953
26,4.83,394,341.55,1.2468,0.8026,1.0947
27,4.88,429,350.23,1.2495,0.8282,1.0972
28,4.82,414,345.94,1.2537,0.8027,1.1074
29,4.91,452,337.4,1.2569,0.8066,1.111
30,4.79,414,351.36,1.2518,0.8046,1.1059
31,4.92,452,359.79,1.2377,0.7918,1.0946
32,4.79,430,347.19,1.2451,0.7855,1.0983
33,4.9,414,336.38,1.2119,0.7783,1.0737
34,4.84,422,357.04,1.2061,0.7674,1.0869
35,4.91,407,347.91,1.2191,0.7563,1.0833
36,4.73,392,350.66,1.2214,0.7643,1.0833
37,4.91,430,354.19,1.237,0.7834,1.0831
38,4.83,412,353.74,1.2175,0.7641,1.0953
39,4.9,416,351.64,1.2381,0.775,1.0949
40,4.83,427,360.85,1.2426,0.7824,1.095
41,4.91,438,353.17,1.1999,0.7263,1.0704
42,4.83,434,349.28,1.1901,0.7393,1.0703
43,4.92,426,347.91,1.1812,0.7404,1.0696
44,4.83,412,345.62,1.1933,0.7506,1.0769
45,4.92,409,343.21,1.2069,0.7242,1.0798
46,4.8,429,359.28,1.1866,0.7406,1.0751
47,4.91,396,355.45,1.1914,0.7409,1.0781
48,4.82,407,352.32,1.1896,0.7231,1.0689
49,4.91,444,351.91,1.1647,0.7101,1.0646
50,4.82,399,355.21,1.1926,0.7096,1.0632
51,4.92,454,359.68,1.2079,0.7563,1.0848
52,4.84,441,354.36,1.1897,0.7362,1.0776
53,4.91,477,358.72,1.1783,0.7363,1.0659
