epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9739,2.27113,3.3164,1.72426,0.40252,0.4235,0.32987,0.19735,1.40949,2.80654,1.15409,0.00022,0.00022,0.00022
2,25.0328,1.41979,1.14299,1.18221,0.24128,0.56341,0.27377,0.15154,1.65901,inf,1.25389,0.000447772,0.000447772,0.000447772
3,35.4254,1.37734,1.04095,1.16869,0.2685,0.65745,0.31276,0.17471,1.43006,3.467,1.15817,0.000673268,0.000673268,0.000673268
4,46.1974,1.4071,1.06283,1.17058,0.10799,0.17889,0.06445,0.02995,2.33323,inf,2.10116,0.000896486,0.000896486,0.000896486
5,56.838,1.38865,1.00726,1.15944,0.41213,0.25992,0.21719,0.08985,2.38773,2.6255,1.48794,0.0009802,0.0009802,0.0009802
6,67.6114,1.36346,0.97261,1.15226,0.45878,0.45835,0.40169,0.22784,1.51128,1.68625,1.18863,0.00097525,0.00097525,0.00097525
7,80.4561,1.36282,1.00519,1.14743,0.3241,0.56531,0.3632,0.20752,1.37101,1.34425,1.13527,0.0009703,0.0009703,0.0009703
8,91.0495,1.36231,0.97159,1.15126,0.4158,0.54354,0.44392,0.24075,1.4723,1.18193,1.18158,0.00096535,0.00096535,0.00096535
9,102.903,1.33701,0.9531,1.14007,0.47567,0.56255,0.49156,0.27593,1.41259,0.97019,1.14627,0.0009604,0.0009604,0.0009604
10,115.355,1.34529,0.92944,1.13831,0.52072,0.63421,0.56158,0.31365,1.44456,0.94405,1.14835,0.00095545,0.00095545,0.00095545
11,127.247,1.33178,0.91017,1.14203,0.52967,0.64197,0.56005,0.28855,1.57305,0.9357,1.19212,0.0009505,0.0009505,0.0009505
12,138.221,1.32108,0.91284,1.13583,0.50502,0.57258,0.53184,0.30144,1.37989,1.02281,1.12578,0.00094555,0.00094555,0.00094555
13,149.917,1.31787,0.90978,1.12881,0.44974,0.65657,0.56785,0.32635,1.32036,0.91694,1.09743,0.0009406,0.0009406,0.0009406
14,161.82,1.30312,0.89244,1.1228,0.54016,0.55185,0.57311,0.32695,1.38265,0.92405,1.11709,0.00093565,0.00093565,0.00093565
15,173.234,1.3253,0.88349,1.13742,0.50024,0.65577,0.57554,0.3306,1.34221,0.84326,1.10779,0.0009307,0.0009307,0.0009307
16,185.726,1.29998,0.88298,1.11674,0.53062,0.66827,0.58575,0.33955,1.35765,0.96894,1.11459,0.00092575,0.00092575,0.00092575
17,197.562,1.27099,0.84972,1.10207,0.5865,0.56358,0.49735,0.297,1.32913,1.03935,1.11945,0.0009208,0.0009208,0.0009208
18,208.119,1.29558,0.85309,1.12592,0.55206,0.67388,0.63305,0.34895,1.4369,0.80165,1.14131,0.00091585,0.00091585,0.00091585
19,220.714,1.29436,0.86035,1.1193,0.5556,0.69525,0.64098,0.35744,1.39071,0.86724,1.13022,0.0009109,0.0009109,0.0009109
20,232.375,1.28744,0.8714,1.11771,0.49698,0.70616,0.6101,0.34984,1.35437,0.89362,1.11166,0.00090595,0.00090595,0.00090595
21,242.767,1.27894,0.83972,1.10736,0.56329,0.65551,0.62443,0.35268,1.3457,0.8352,1.11558,0.000901,0.000901,0.000901
22,253.245,1.27286,0.84103,1.11362,0.53986,0.65992,0.60345,0.35036,1.33988,0.87378,1.10574,0.00089605,0.00089605,0.00089605
23,265.091,1.27418,0.8463,1.11181,0.54008,0.68307,0.60623,0.3511,1.35811,0.81351,1.10683,0.0008911,0.0008911,0.0008911
24,275.879,1.26522,0.82207,1.1082,0.58573,0.61722,0.59793,0.354,1.29202,0.81241,1.0959,0.00088615,0.00088615,0.00088615
25,286.427,1.25751,0.81512,1.09657,0.58703,0.65715,0.61982,0.36463,1.31349,0.84788,1.10311,0.0008812,0.0008812,0.0008812
26,298.194,1.25533,0.80624,1.09864,0.56885,0.64961,0.62429,0.35951,1.35472,0.81291,1.10954,0.00087625,0.00087625,0.00087625
27,308.811,1.2525,0.82921,1.09942,0.62003,0.70326,0.64683,0.37728,1.311,0.79457,1.09398,0.0008713,0.0008713,0.0008713
28,321.021,1.24603,0.79683,1.10172,0.61637,0.66635,0.64166,0.37454,1.3487,0.84584,1.11109,0.00086635,0.00086635,0.00086635
29,331.819,1.25058,0.8083,1.10719,0.59773,0.67488,0.65702,0.37866,1.29335,0.78549,1.09013,0.0008614,0.0008614,0.0008614
30,343.746,1.24155,0.80776,1.09884,0.60156,0.68166,0.66544,0.37594,1.30691,0.83223,1.09194,0.00085645,0.00085645,0.00085645
31,354.807,1.25634,0.7981,1.10577,0.573,0.66949,0.63706,0.36802,1.28587,0.79152,1.08739,0.0008515,0.0008515,0.0008515
32,365.606,1.24998,0.78388,1.09456,0.587,0.70111,0.61001,0.36761,1.26883,0.78365,1.07897,0.00084655,0.00084655,0.00084655
33,376.231,1.22002,0.77331,1.08139,0.75361,0.62078,0.65771,0.38138,1.31761,0.75485,1.09473,0.0008416,0.0008416,0.0008416
34,388.5,1.2213,0.7743,1.09192,0.64331,0.63566,0.6613,0.37806,1.35923,0.78636,1.10647,0.00083665,0.00083665,0.00083665
35,398.549,1.23719,0.77741,1.09168,0.63354,0.7073,0.68692,0.40244,1.31417,0.74939,1.09951,0.0008317,0.0008317,0.0008317
36,410.454,1.22976,0.77328,1.08943,0.64735,0.66299,0.67317,0.39261,1.27741,0.78189,1.07885,0.00082675,0.00082675,0.00082675
37,421.121,1.22929,0.77964,1.07914,0.5807,0.71488,0.63708,0.37859,1.32408,0.81462,1.09974,0.0008218,0.0008218,0.0008218
38,431.654,1.20556,0.76947,1.08713,0.5916,0.7265,0.66195,0.38972,1.30384,0.81143,1.08534,0.00081685,0.00081685,0.00081685
39,442.667,1.22806,0.75486,1.08686,0.65625,0.69282,0.68657,0.39983,1.31524,0.74719,1.08923,0.0008119,0.0008119,0.0008119
40,454.162,1.22709,0.76029,1.08886,0.58214,0.71924,0.67542,0.38292,1.34087,0.75459,1.09903,0.00080695,0.00080695,0.00080695
41,464.839,1.2093,0.7306,1.07671,0.66071,0.67301,0.68715,0.40392,1.32169,0.77584,1.10235,0.000802,0.000802,0.000802
42,479.132,1.18375,0.72964,1.06595,0.70504,0.62056,0.66159,0.40144,1.285,0.75574,1.09166,0.00079705,0.00079705,0.00079705
43,489.357,1.19784,0.75074,1.07425,0.6205,0.70757,0.70525,0.41648,1.25588,0.74507,1.0776,0.0007921,0.0007921,0.0007921
44,500.95,1.2059,0.75148,1.07967,0.6384,0.71463,0.6856,0.40424,1.31057,0.75237,1.09553,0.00078715,0.00078715,0.00078715
45,511.284,1.20925,0.72853,1.08287,0.60023,0.7236,0.65426,0.39041,1.3508,0.77505,1.11029,0.0007822,0.0007822,0.0007822
46,522.07,1.18792,0.72752,1.07304,0.61249,0.69633,0.6565,0.39918,1.28876,0.79095,1.08691,0.00077725,0.00077725,0.00077725
47,532.981,1.19421,0.73856,1.07886,0.6236,0.67817,0.68195,0.4078,1.28432,0.77052,1.08695,0.0007723,0.0007723,0.0007723
48,544.272,1.18641,0.71927,1.07444,0.63258,0.729,0.7022,0.41244,1.35288,0.76028,1.11168,0.00076735,0.00076735,0.00076735
49,555.947,1.1819,0.71472,1.07169,0.61976,0.69009,0.68077,0.39295,1.3673,0.74233,1.1087,0.0007624,0.0007624,0.0007624
50,566.607,1.18837,0.72136,1.06362,0.62198,0.72341,0.66751,0.4012,1.29883,0.73311,1.08878,0.00075745,0.00075745,0.00075745
51,577.059,1.20216,0.74263,1.07785,0.62559,0.6749,0.66387,0.39207,1.26566,0.72231,1.08316,0.0007525,0.0007525,0.0007525
52,587.754,1.18139,0.72634,1.07278,0.58989,0.71852,0.66031,0.39881,1.27026,0.80276,1.08496,0.00074755,0.00074755,0.00074755
53,598.301,1.18147,0.73726,1.0676,0.61279,0.6998,0.6907,0.4004,1.33425,0.77107,1.10381,0.0007426,0.0007426,0.0007426
54,609.558,1.17771,0.71456,1.07089,0.66284,0.69359,0.70575,0.42386,1.25207,0.70045,1.07124,0.00073765,0.00073765,0.00073765
55,622.038,1.16566,0.70021,1.06528,0.69419,0.70185,0.69347,0.42024,1.27843,0.74449,1.08319,0.0007327,0.0007327,0.0007327
56,632.937,1.1785,0.71637,1.07152,0.65477,0.6684,0.67524,0.40351,1.29083,0.7258,1.0818,0.00072775,0.00072775,0.00072775
57,643.691,1.17264,0.68646,1.06501,0.64979,0.69456,0.69052,0.41874,1.25682,0.69541,1.07955,0.0007228,0.0007228,0.0007228
58,654.758,1.16589,0.68975,1.05643,0.7495,0.65434,0.71439,0.42299,1.33244,0.7163,1.10094,0.00071785,0.00071785,0.00071785
59,667.42,1.16483,0.69455,1.05446,0.62762,0.71422,0.68782,0.41478,1.25846,0.73636,1.07281,0.0007129,0.0007129,0.0007129
60,678.193,1.14425,0.68018,1.05255,0.67323,0.70237,0.69391,0.42001,1.27983,0.70476,1.08412,0.00070795,0.00070795,0.00070795
61,689.05,1.16259,0.68592,1.06561,0.65413,0.70381,0.68815,0.41022,1.29513,0.74398,1.09346,0.000703,0.000703,0.000703
62,700.521,1.16822,0.68968,1.07661,0.62433,0.74536,0.69846,0.40538,1.33359,0.77458,1.10127,0.00069805,0.00069805,0.00069805
63,711.778,1.16046,0.68777,1.05873,0.6496,0.66548,0.66972,0.40004,1.30635,0.74404,1.09581,0.0006931,0.0006931,0.0006931
64,722.233,1.15237,0.69024,1.05558,0.64571,0.71711,0.68044,0.41337,1.27725,0.72841,1.08232,0.00068815,0.00068815,0.00068815
65,733.345,1.13304,0.66133,1.04959,0.61811,0.72682,0.70344,0.43352,1.25134,0.74158,1.07327,0.0006832,0.0006832,0.0006832
66,747.153,1.13601,0.63613,1.05003,0.71357,0.68623,0.70937,0.43291,1.29582,0.74027,1.0921,0.00067825,0.00067825,0.00067825
67,759.288,1.1339,0.64465,1.04635,0.66369,0.72199,0.68201,0.39288,1.36188,0.77076,1.10798,0.0006733,0.0006733,0.0006733
68,769.938,1.15201,0.66098,1.05511,0.67149,0.67491,0.66599,0.3994,1.27299,0.74964,1.08165,0.00066835,0.00066835,0.00066835
