epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2733,2.36333,3.1594,1.78773,0.48875,0.49595,0.38567,0.20246,1.51994,2.7217,1.23641,0.00022,0.00022,0.00022
2,32.9626,1.42343,1.10259,1.18802,0.10157,0.6523,0.10552,0.05376,nan,nan,nan,0.000447772,0.000447772,0.000447772
3,45.9185,1.39584,1.07376,1.18112,0.09111,0.51111,0.089,0.05011,1.45435,inf,1.19646,0.000673268,0.000673268,0.000673268
4,59.4361,1.38193,0.98663,1.16049,0,0,0,0,4.69966,inf,24.7583,0.000896486,0.000896486,0.000896486
5,72.0802,1.41657,0.99005,1.17029,0.10381,0.23662,0.0926,0.04502,2.83576,8.99902,2.05536,0.0009802,0.0009802,0.0009802
6,84.6611,1.37783,0.9699,1.16194,0.41297,0.20984,0.19544,0.09613,2.41925,2.30591,1.55674,0.00097525,0.00097525,0.00097525
7,96.5744,1.37502,0.98353,1.15718,0.32442,0.27569,0.19782,0.11569,2.06743,inf,1.733,0.0009703,0.0009703,0.0009703
8,109.015,1.34899,0.96557,1.14732,0.34292,0.61023,0.39772,0.18089,1.75294,2.42751,1.34295,0.00096535,0.00096535,0.00096535
9,121.712,1.33721,0.93448,1.14321,0.43874,0.61824,0.52654,0.27889,1.4844,1.15581,1.17516,0.0009604,0.0009604,0.0009604
10,135.806,1.34454,0.92183,1.14462,0.4936,0.54704,0.52325,0.29361,1.36449,0.9489,1.13458,0.00095545,0.00095545,0.00095545
11,149.133,1.34191,0.91161,1.1499,0.49199,0.67359,0.55018,0.25005,1.79915,1.10345,1.34413,0.0009505,0.0009505,0.0009505
12,161.397,1.3288,0.91153,1.14253,0.52803,0.68393,0.5933,0.33442,1.38653,0.94613,1.14,0.00094555,0.00094555,0.00094555
13,174.629,1.34841,0.9071,1.14279,0.45403,0.658,0.53775,0.29166,1.49073,1.02819,1.1651,0.0009406,0.0009406,0.0009406
14,187.046,1.30529,0.88411,1.12777,0.57006,0.66302,0.61025,0.32741,1.4779,0.91563,1.1587,0.00093565,0.00093565,0.00093565
15,199.61,1.33479,0.88255,1.14534,0.54737,0.71037,0.61911,0.30902,1.76746,0.91118,1.2993,0.0009307,0.0009307,0.0009307
16,212.329,1.30259,0.86559,1.12052,0.60519,0.64781,0.60982,0.36069,1.30457,0.84346,1.09407,0.00092575,0.00092575,0.00092575
17,226.582,1.27229,0.84135,1.10495,0.62385,0.56883,0.60353,0.35327,1.30448,0.81147,1.09691,0.0009208,0.0009208,0.0009208
18,239.062,1.3107,0.84917,1.13281,0.56417,0.69317,0.6343,0.34891,1.42991,0.82518,1.14784,0.00091585,0.00091585,0.00091585
19,251.925,1.31751,0.86706,1.13199,0.62139,0.64704,0.63754,0.3642,1.37957,0.89056,1.13235,0.0009109,0.0009109,0.0009109
20,265.394,1.29379,0.86813,1.12428,0.58311,0.64825,0.61125,0.33817,1.39889,0.86695,1.13127,0.00090595,0.00090595,0.00090595
21,277.946,1.27638,0.83579,1.10983,0.59761,0.65695,0.64302,0.36355,1.36926,0.79041,1.11685,0.000901,0.000901,0.000901
22,290.485,1.28705,0.84331,1.12106,0.54299,0.63866,0.5809,0.34277,1.30905,0.80583,1.09997,0.00089605,0.00089605,0.00089605
23,303.453,1.28499,0.8358,1.11866,0.60433,0.60616,0.6011,0.34538,1.37588,0.87831,1.11938,0.0008911,0.0008911,0.0008911
24,316.044,1.26061,0.81823,1.11019,0.59908,0.65084,0.62731,0.35229,1.37228,0.82129,1.12091,0.00088615,0.00088615,0.00088615
25,328.105,1.25368,0.8144,1.09936,0.60309,0.63076,0.64038,0.32998,1.56365,0.81054,1.1932,0.0008812,0.0008812,0.0008812
26,340.687,1.25533,0.80401,1.10136,0.63317,0.59716,0.62563,0.36222,1.29618,0.81758,1.08812,0.00087625,0.00087625,0.00087625
27,354.058,1.25805,0.83051,1.1067,0.6431,0.63568,0.64606,0.38629,1.28235,0.77871,1.08332,0.0008713,0.0008713,0.0008713
28,367.604,1.2426,0.80276,1.10419,0.53486,0.70629,0.63239,0.37767,1.32225,0.77644,1.09848,0.00086635,0.00086635,0.00086635
29,379.715,1.2517,0.79985,1.11135,0.63298,0.63763,0.62122,0.36073,1.32005,0.79417,1.09284,0.0008614,0.0008614,0.0008614
30,392.55,1.24343,0.80392,1.10337,0.57005,0.71908,0.6469,0.37334,1.31557,0.80889,1.09383,0.00085645,0.00085645,0.00085645
31,405.074,1.26987,0.79316,1.11563,0.60338,0.58589,0.61727,0.36373,1.27963,0.78342,1.08226,0.0008515,0.0008515,0.0008515
32,417.184,1.26221,0.79159,1.10373,0.60231,0.69372,0.6689,0.39335,1.27555,0.76358,1.08249,0.00084655,0.00084655,0.00084655
33,430.315,1.23446,0.77877,1.09161,0.62282,0.6388,0.6368,0.35773,1.41355,0.7644,1.13014,0.0008416,0.0008416,0.0008416
34,443.024,1.2358,0.77894,1.10098,0.59389,0.67722,0.63479,0.37616,1.2682,0.76651,1.08281,0.00083665,0.00083665,0.00083665
35,455.365,1.24601,0.77554,1.09893,0.62477,0.633,0.63615,0.36767,1.33538,0.79602,1.10298,0.0008317,0.0008317,0.0008317
36,467.619,1.22948,0.76955,1.09376,0.61911,0.67997,0.65586,0.38653,1.27969,0.81777,1.08525,0.00082675,0.00082675,0.00082675
37,480.257,1.22191,0.75987,1.08033,0.56517,0.72147,0.63023,0.37083,1.31411,0.80133,1.0953,0.0008218,0.0008218,0.0008218
38,492.933,1.21627,0.78074,1.09574,0.58384,0.69111,0.65593,0.38448,1.29479,0.7578,1.09074,0.00081685,0.00081685,0.00081685
39,505.207,1.24308,0.77095,1.09688,0.59425,0.69589,0.66625,0.38771,1.34232,0.78126,1.1009,0.0008119,0.0008119,0.0008119
40,517.995,1.25406,0.77833,1.10257,0.65437,0.65537,0.67055,0.38058,1.42186,0.7993,1.13103,0.00080695,0.00080695,0.00080695
41,530.651,1.22788,0.74132,1.08615,0.65712,0.68456,0.6884,0.40588,1.31371,0.7355,1.09829,0.000802,0.000802,0.000802
42,544.782,1.18569,0.7305,1.06904,0.67355,0.61338,0.64369,0.38386,1.26376,0.75377,1.08098,0.00079705,0.00079705,0.00079705
43,557.201,1.21052,0.76136,1.08292,0.63173,0.67734,0.66892,0.40091,1.26842,0.72811,1.07846,0.0007921,0.0007921,0.0007921
44,569.962,1.21548,0.75468,1.08644,0.633,0.66917,0.65884,0.38563,1.3097,0.75487,1.09649,0.00078715,0.00078715,0.00078715
